4000
generated by VMD
Au -16.598021 37.266085 25.463007
Au 31.265204 35.558418 60.963483
Au 25.521617 13.358752 56.525923
Au 37.008791 18.481752 29.900567
Au 19.778030 -8.840915 9.931549
Au -18.512550 -5.425581 29.900567
Au -10.854434 32.143085 58.744703
Au -16.598021 25.312418 65.401042
Au 29.350675 -12.256248 16.587888
Au 23.607088 4.820418 18.806668
Au -1.281789 3.112752 -1.162349
Au 17.863501 -5.425581 1.056430
Au 29.350675 20.189418 7.712769
Au 4.461798 20.189418 38.775686
Au 48.495965 32.143085 16.587888
Au -7.025376 37.266085 36.556906
Au 46.581436 -12.256248 3.275210
Au 2.547269 35.558418 49.869584
Au 37.008791 50.927418 45.432025
Au 21.692559 3.112752 27.681787
Au 44.666907 52.635084 9.931549
Au 37.008791 35.558418 -1.162349
Au 35.094262 23.604751 58.744703
Au -14.683492 50.927418 72.057381
Au 33.179733 54.342751 14.369109
Au 31.265204 42.389085 23.244227
Au 27.436146 16.774085 58.744703
Au 12.119914 45.804418 12.150329
Au 54.239552 38.973751 52.088364
Au 46.581436 11.651085 47.650804
Au 50.410494 -10.548581 65.401042
Au -10.854434 38.973751 45.432025
Au 23.607088 28.727751 27.681787
Au 15.948972 4.820418 43.213245
Au 31.265204 18.481752 69.838602
Au -18.512550 13.358752 69.838602
Au 0.632740 8.235752 38.775686
Au -7.025376 -5.425581 60.963483
Au 17.863501 54.342751 45.432025
Au 17.863501 9.943418 7.712769
Au 17.863501 40.681418 -5.599909
Au -1.281789 50.927418 27.681787
Au 0.632740 -10.548581 18.806668
Au -12.768963 6.528085 43.213245
Au -20.427079 -0.302582 54.307144
Au 50.410494 42.389085 72.057381
Au -20.427079 28.727751 38.775686
Au -7.025376 18.481752 29.900567
Au 38.923320 42.389085 1.056430
Au -5.110847 -10.548581 49.869584
Au 37.008791 54.342751 72.057381
Au 4.461798 37.266085 52.088364
Au 42.752378 -7.133248 -3.381129
Au -10.854434 21.897085 40.994465
Au 38.923320 52.635084 7.712769
Au -5.110847 52.635084 49.869584
Au -20.427079 32.143085 18.806668
Au 31.265204 4.820418 60.963483
Au 21.692559 -5.425581 -3.381129
Au 42.752378 37.266085 -5.599909
Au 48.495965 44.096751 67.619822
Au 38.923320 40.681418 -10.037468
Au -1.281789 54.342751 34.338126
Au 31.265204 25.312418 49.869584
Au 0.632740 -2.010248 65.401042
Au 40.837849 45.804418 58.744703
Au 46.581436 52.635084 60.963483
Au -20.427079 -3.717915 72.057381
Au -12.768963 8.235752 27.681787
Au 29.350675 30.435418 7.712769
Au 50.410494 32.143085 27.681787
Au 37.008791 -10.548581 69.838602
Au -1.281789 54.342751 58.744703
Au 42.752378 -8.840915 63.182262
Au 8.290856 3.112752 -3.381129
Au -7.025376 54.342751 -5.599909
Au 40.837849 47.512084 47.650804
Au -7.025376 -10.548581 3.275210
Au 6.376327 -5.425581 32.119346
Au 2.547269 45.804418 23.244227
Au 46.581436 21.897085 54.307144
Au -3.196318 15.066418 65.401042
Au 0.632740 38.973751 74.276161
Au 31.265204 4.820418 67.619822
Au -5.110847 42.389085 18.806668
Au -7.025376 18.481752 45.432025
Au -7.025376 49.219751 21.025448
Au 40.837849 21.897085 65.401042
Au 42.752378 13.358752 9.931549
Au 40.837849 27.020085 -10.037468
Au 0.632740 37.266085 -10.037468
Au 10.205385 42.389085 29.900567
Au 42.752378 38.973751 56.525923
Au 12.119914 -3.717915 47.650804
Au 40.837849 38.973751 16.587888
Au 4.461798 9.943418 36.556906
Au 52.325023 11.651085 74.276161
Au -7.025376 47.512084 7.712769
Au 42.752378 4.820418 -5.599909
Au 25.521617 44.096751 40.994465
Au 31.265204 52.635084 9.931549
Au 2.547269 33.850751 -5.599909
Au 10.205385 52.635084 12.150329
Au 52.325023 35.558418 36.556906
Au 19.778030 42.389085 45.432025
Au 14.034443 30.435418 36.556906
Au 40.837849 9.943418 -10.037468
Au -7.025376 -5.425581 29.900567
Au -20.427079 49.219751 49.869584
Au 6.376327 16.774085 -5.599909
Au -5.110847 38.973751 43.213245
Au 19.778030 28.727751 7.712769
Au 38.923320 18.481752 45.432025
Au 21.692559 35.558418 9.931549
Au 52.325023 32.143085 45.432025
Au -14.683492 54.342751 47.650804
Au 23.607088 4.820418 -3.381129
Au -8.939905 33.850751 34.338126
Au 6.376327 11.651085 74.276161
Au 14.034443 40.681418 9.931549
Au 14.034443 -12.256248 5.493990
Au -5.110847 45.804418 -1.162349
Au -7.025376 35.558418 -3.381129
Au -14.683492 47.512084 72.057381
Au 50.410494 16.774085 63.182262
Au 31.265204 -3.717915 40.994465
Au 8.290856 1.405085 -10.037468
Au 29.350675 42.389085 18.806668
Au -3.196318 13.358752 14.369109
Au 27.436146 40.681418 54.307144
Au 12.119914 45.804418 27.681787
Au -14.683492 50.927418 18.806668
Au 4.461798 35.558418 9.931549
Au 44.666907 23.604751 -1.162349
Au 27.436146 -7.133248 49.869584
Au 25.521617 32.143085 67.619822
Au 6.376327 54.342751 74.276161
Au 12.119914 18.481752 60.963483
Au -12.768963 32.143085 -1.162349
Au -20.427079 -10.548581 18.806668
Au -18.512550 33.850751 5.493990
Au -5.110847 40.681418 16.587888
Au 21.692559 16.774085 18.806668
Au 25.521617 8.235752 1.056430
Au 4.461798 -8.840915 21.025448
Au 37.008791 1.405085 21.025448
Au 33.179733 6.528085 49.869584
Au 35.094262 16.774085 63.182262
Au 4.461798 37.266085 7.712769
Au 10.205385 27.020085 40.994465
Au 27.436146 11.651085 23.244227
Au 50.410494 -2.010248 60.963483
Au -16.598021 38.973751 40.994465
Au 10.205385 8.235752 63.182262
Au -12.768963 23.604751 7.712769
Au 38.923320 18.481752 -10.037468
Au 12.119914 -8.840915 25.463007
Au 19.778030 -2.010248 3.275210
Au 8.290856 -7.133248 -12.256248
Au -7.025376 23.604751 25.463007
Au 29.350675 35.558418 1.056430
Au 23.607088 6.528085 60.963483
Au -5.110847 47.512084 69.838602
Au 23.607088 49.219751 27.681787
Au -20.427079 3.112752 60.963483
Au 4.461798 25.312418 72.057381
Au 29.350675 6.528085 38.775686
Au 40.837849 20.189418 56.525923
Au 25.521617 23.604751 -12.256248
Au -5.110847 -0.302582 -12.256248
Au 33.179733 15.066418 7.712769
Au 6.376327 21.897085 -5.599909
Au -16.598021 25.312418 7.712769
Au 8.290856 -3.717915 63.182262
Au -16.598021 35.558418 1.056430
Au -8.939905 30.435418 47.650804
Au 10.205385 16.774085 9.931549
Au 4.461798 49.219751 29.900567
Au -5.110847 -3.717915 9.931549
Au 40.837849 42.389085 74.276161
Au -5.110847 25.312418 47.650804
Au 50.410494 30.435418 58.744703
Au -12.768963 -8.840915 40.994465
Au 46.581436 42.389085 67.619822
Au -20.427079 45.804418 25.463007
Au 21.692559 45.804418 -3.381129
Au -5.110847 4.820418 -3.381129
Au -7.025376 -7.133248 -3.381129
Au -8.939905 11.651085 16.587888
Au 40.837849 -10.548581 74.276161
Au 0.632740 3.112752 38.775686
Au 14.034443 16.774085 3.275210
Au 0.632740 -0.302582 -12.256248
Au 10.205385 -10.548581 -3.381129
Au -12.768963 1.405085 -12.256248
Au -8.939905 45.804418 56.525923
Au 48.495965 23.604751 60.963483
Au -5.110847 15.066418 27.681787
Au 21.692559 15.066418 5.493990
Au -8.939905 23.604751 63.182262
Au 33.179733 47.512084 -12.256248
Au 25.521617 13.358752 -12.256248
Au -7.025376 49.219751 -7.818689
Au 17.863501 50.927418 54.307144
Au 23.607088 -7.133248 7.712769
Au -18.512550 13.358752 16.587888
Au 6.376327 40.681418 16.587888
Au -10.854434 45.804418 47.650804
Au 14.034443 54.342751 -1.162349
Au -7.025376 44.096751 -12.256248
Au 40.837849 8.235752 38.775686
Au 38.923320 8.235752 69.838602
Au -3.196318 -2.010248 16.587888
Au 6.376327 44.096751 23.244227
Au 52.325023 1.405085 -7.818689
Au 50.410494 13.358752 49.869584
Au 4.461798 1.405085 56.525923
Au -7.025376 -3.717915 67.619822
Au 46.581436 27.020085 40.994465
Au 10.205385 3.112752 18.806668
Au 4.461798 47.512084 52.088364
Au -18.512550 37.266085 12.150329
Au -3.196318 40.681418 38.775686
Au 35.094262 18.481752 40.994465
Au 31.265204 11.651085 40.994465
Au 27.436146 47.512084 65.401042
Au -16.598021 47.512084 -3.381129
Au -1.281789 33.850751 -10.037468
Au 21.692559 13.358752 23.244227
Au 33.179733 45.804418 67.619822
Au 25.521617 16.774085 18.806668
Au 52.325023 30.435418 63.182262
Au 38.923320 8.235752 16.587888
Au -3.196318 35.558418 7.712769
Au -7.025376 -10.548581 -12.256248
Au -18.512550 1.405085 9.931549
Au 38.923320 54.342751 43.213245
Au -18.512550 27.020085 43.213245
Au 29.350675 50.927418 43.213245
Au 23.607088 38.973751 67.619822
Au 19.778030 -3.717915 29.900567
Au 31.265204 38.973751 60.963483
Au 8.290856 30.435418 36.556906
Au -16.598021 -5.425581 -12.256248
Au -7.025376 30.435418 34.338126
Au 44.666907 54.342751 56.525923
Au 35.094262 28.727751 40.994465
Au 0.632740 -2.010248 16.587888
Au 35.094262 13.358752 74.276161
Au 46.581436 16.774085 21.025448
Au 21.692559 45.804418 49.869584
Au -14.683492 27.020085 74.276161
Au 15.948972 27.020085 72.057381
Au 17.863501 37.266085 49.869584
Au 48.495965 35.558418 69.838602
Au -5.110847 35.558418 21.025448
Au 0.632740 42.389085 -1.162349
Au 2.547269 25.312418 -10.037468
Au 12.119914 27.020085 65.401042
Au 48.495965 11.651085 29.900567
Au 14.034443 42.389085 32.119346
Au 23.607088 49.219751 -1.162349
Au -8.939905 13.358752 12.150329
Au -10.854434 35.558418 21.025448
Au 23.607088 21.897085 27.681787
Au 19.778030 8.235752 5.493990
Au -10.854434 25.312418 43.213245
Au 33.179733 28.727751 25.463007
Au 38.923320 37.266085 67.619822
Au 54.239552 -0.302582 1.056430
Au 50.410494 -2.010248 49.869584
Au 2.547269 8.235752 45.432025
Au 42.752378 16.774085 40.994465
Au 48.495965 37.266085 -7.818689
Au 19.778030 30.435418 -12.256248
Au -12.768963 38.973751 23.244227
Au 17.863501 35.558418 -12.256248
Au 46.581436 -0.302582 72.057381
Au 29.350675 42.389085 21.025448
Au 33.179733 -3.717915 27.681787
Au 42.752378 21.897085 5.493990
Au 14.034443 18.481752 9.931549
Au 27.436146 47.512084 5.493990
Au 42.752378 37.266085 60.963483
Au 48.495965 45.804418 -1.162349
Au 2.547269 35.558418 34.338126
Au 21.692559 47.512084 12.150329
Au 0.632740 42.389085 69.838602
Au 33.179733 13.358752 29.900567
Au 44.666907 20.189418 69.838602
Au 6.376327 11.651085 56.525923
Au -12.768963 54.342751 56.525923
Au -16.598021 44.096751 29.900567
Au 38.923320 40.681418 58.744703
Au 44.666907 20.189418 27.681787
Au 8.290856 16.774085 14.369109
Au 14.034443 33.850751 -1.162349
Au 2.547269 32.143085 34.338126
Au 10.205385 4.820418 52.088364
Au -14.683492 15.066418 56.525923
Au 14.034443 3.112752 72.057381
Au -10.854434 37.266085 -3.381129
Au 29.350675 -5.425581 29.900567
Au -1.281789 11.651085 -3.381129
Au 23.607088 4.820418 45.432025
Au 54.239552 -2.010248 25.463007
Au 27.436146 38.973751 5.493990
Au 21.692559 20.189418 -1.162349
Au -18.512550 15.066418 -10.037468
Au 29.350675 45.804418 74.276161
Au -7.025376 32.143085 36.556906
Au 12.119914 40.681418 9.931549
Au 21.692559 47.512084 -7.818689
Au 8.290856 40.681418 63.182262
Au 10.205385 47.512084 40.994465
Au -12.768963 13.358752 45.432025
Au 37.008791 -10.548581 -1.162349
Au 37.008791 4.820418 69.838602
Au 50.410494 49.219751 52.088364
Au 52.325023 25.312418 40.994465
Au 4.461798 -3.717915 49.869584
Au 33.179733 30.435418 52.088364
Au -18.512550 49.219751 5.493990
Au 8.290856 35.558418 38.775686
Au -20.427079 20.189418 5.493990
Au -7.025376 54.342751 67.619822
Au -18.512550 -7.133248 63.182262
Au 23.607088 44.096751 -10.037468
Au -12.768963 47.512084 -10.037468
Au 8.290856 15.066418 36.556906
Au 17.863501 50.927418 38.775686
Au -7.025376 35.558418 36.556906
Au 2.547269 -5.425581 65.401042
Au -10.854434 35.558418 12.150329
Au 0.632740 28.727751 14.369109
Au 52.325023 15.066418 32.119346
Au 27.436146 52.635084 7.712769
Au 14.034443 25.312418 56.525923
Au -7.025376 11.651085 32.119346
Au 25.521617 35.558418 54.307144
Au -5.110847 3.112752 23.244227
Au 44.666907 52.635084 -7.818689
Au 27.436146 25.312418 52.088364
Au 40.837849 42.389085 63.182262
Au -8.939905 54.342751 43.213245
Au 48.495965 -3.717915 38.775686
Au 37.008791 3.112752 45.432025
Au 54.239552 27.020085 29.900567
Au 12.119914 1.405085 63.182262
Au 38.923320 16.774085 32.119346
Au 10.205385 45.804418 38.775686
Au 4.461798 3.112752 25.463007
Au 54.239552 54.342751 5.493990
Au 25.521617 8.235752 67.619822
Au -16.598021 21.897085 72.057381
Au 19.778030 13.358752 52.088364
Au 4.461798 23.604751 3.275210
Au 42.752378 27.020085 -7.818689
Au 29.350675 35.558418 9.931549
Au 19.778030 54.342751 9.931549
Au 37.008791 1.405085 1.056430
Au 31.265204 27.020085 27.681787
Au -8.939905 1.405085 5.493990
Au 44.666907 47.512084 69.838602
Au -18.512550 33.850751 49.869584
Au 48.495965 44.096751 1.056430
Au 37.008791 1.405085 49.869584
Au -20.427079 47.512084 32.119346
Au 48.495965 27.020085 40.994465
Au 52.325023 21.897085 65.401042
Au 54.239552 38.973751 40.994465
Au 21.692559 -5.425581 -1.162349
Au 48.495965 -5.425581 3.275210
Au 42.752378 15.066418 12.150329
Au 27.436146 40.681418 1.056430
Au 21.692559 1.405085 27.681787
Au 25.521617 30.435418 3.275210
Au 8.290856 3.112752 32.119346
Au -16.598021 -12.256248 74.276161
Au 2.547269 32.143085 -3.381129
Au -8.939905 23.604751 56.525923
Au 8.290856 -12.256248 47.650804
Au 40.837849 -8.840915 54.307144
Au 8.290856 11.651085 38.775686
Au 52.325023 13.358752 16.587888
Au 27.436146 -5.425581 29.900567
Au -14.683492 21.897085 -7.818689
Au 33.179733 11.651085 27.681787
Au 17.863501 52.635084 3.275210
Au -3.196318 6.528085 -1.162349
Au 37.008791 42.389085 21.025448
Au -1.281789 38.973751 29.900567
Au 25.521617 25.312418 58.744703
Au -5.110847 11.651085 32.119346
Au 33.179733 8.235752 -3.381129
Au 46.581436 3.112752 63.182262
Au -3.196318 35.558418 72.057381
Au 0.632740 28.727751 63.182262
Au 33.179733 45.804418 65.401042
Au -10.854434 15.066418 63.182262
Au 14.034443 6.528085 27.681787
Au -14.683492 3.112752 25.463007
Au 54.239552 30.435418 -5.599909
Au 10.205385 21.897085 58.744703
Au 14.034443 -7.133248 -10.037468
Au 50.410494 -12.256248 25.463007
Au 8.290856 45.804418 65.401042
Au -16.598021 -10.548581 7.712769
Au 46.581436 -7.133248 56.525923
Au 4.461798 27.020085 7.712769
Au 33.179733 3.112752 54.307144
Au 40.837849 -8.840915 38.775686
Au 50.410494 40.681418 12.150329
Au -3.196318 -0.302582 67.619822
Au 31.265204 1.405085 52.088364
Au 33.179733 40.681418 29.900567
Au 44.666907 23.604751 67.619822
Au 12.119914 32.143085 34.338126
Au -3.196318 35.558418 1.056430
Au 50.410494 50.927418 12.150329
Au 10.205385 6.528085 5.493990
Au 44.666907 20.189418 12.150329
Au 46.581436 -2.010248 18.806668
Au 21.692559 -2.010248 60.963483
Au 42.752378 52.635084 9.931549
Au 46.581436 8.235752 14.369109
Au 40.837849 -8.840915 -1.162349
Au 31.265204 3.112752 -3.381129
Au 40.837849 47.512084 52.088364
Au -5.110847 -12.256248 58.744703
Au 48.495965 52.635084 45.432025
Au -7.025376 30.435418 5.493990
Au -1.281789 1.405085 63.182262
Au 19.778030 54.342751 5.493990
Au 14.034443 -3.717915 5.493990
Au -16.598021 18.481752 36.556906
Au 14.034443 20.189418 54.307144
Au 0.632740 -5.425581 -1.162349
Au -1.281789 38.973751 -1.162349
Au -14.683492 33.850751 52.088364
Au -10.854434 25.312418 7.712769
Au 29.350675 32.143085 3.275210
Au 25.521617 35.558418 16.587888
Au 17.863501 37.266085 56.525923
Au -14.683492 54.342751 45.432025
Au 31.265204 54.342751 3.275210
Au 17.863501 44.096751 49.869584
Au 15.948972 40.681418 32.119346
Au 10.205385 35.558418 29.900567
Au 19.778030 -10.548581 -5.599909
Au -14.683492 9.943418 29.900567
Au 48.495965 -7.133248 27.681787
Au 6.376327 25.312418 7.712769
Au 0.632740 20.189418 63.182262
Au -1.281789 37.266085 38.775686
Au 19.778030 21.897085 38.775686
Au 38.923320 9.943418 52.088364
Au 31.265204 38.973751 16.587888
Au 33.179733 9.943418 34.338126
Au 54.239552 25.312418 72.057381
Au 31.265204 23.604751 63.182262
Au 29.350675 21.897085 7.712769
Au -12.768963 11.651085 38.775686
Au -20.427079 42.389085 40.994465
Au -7.025376 15.066418 1.056430
Au 25.521617 38.973751 -12.256248
Au 40.837849 32.143085 47.650804
Au 14.034443 -0.302582 45.432025
Au 27.436146 13.358752 -1.162349
Au 54.239552 13.358752 27.681787
Au 46.581436 27.020085 23.244227
Au 6.376327 21.897085 52.088364
Au 12.119914 15.066418 -3.381129
Au 12.119914 23.604751 47.650804
Au -5.110847 40.681418 18.806668
Au -1.281789 13.358752 49.869584
Au 40.837849 21.897085 60.963483
Au 54.239552 18.481752 65.401042
Au -20.427079 28.727751 40.994465
Au 21.692559 23.604751 65.401042
Au -10.854434 -3.717915 3.275210
Au 35.094262 30.435418 -12.256248
Au 2.547269 3.112752 29.900567
Au -12.768963 45.804418 -5.599909
Au 12.119914 11.651085 69.838602
Au 2.547269 13.358752 58.744703
Au 29.350675 42.389085 -7.818689
Au 15.948972 -7.133248 16.587888
Au 40.837849 16.774085 12.150329
Au 8.290856 49.219751 38.775686
Au -1.281789 40.681418 69.838602
Au 12.119914 -8.840915 -5.599909
Au 0.632740 20.189418 12.150329
Au 46.581436 -3.717915 67.619822
Au -5.110847 30.435418 69.838602
Au 37.008791 -10.548581 72.057381
Au 14.034443 -5.425581 7.712769
Au -20.427079 -2.010248 63.182262
Au 44.666907 38.973751 58.744703
Au 21.692559 47.512084 25.463007
Au 35.094262 30.435418 58.744703
Au 31.265204 28.727751 12.150329
Au 21.692559 20.189418 14.369109
Au 0.632740 -8.840915 27.681787
Au -3.196318 15.066418 40.994465
Au 48.495965 -0.302582 56.525923
Au 0.632740 47.512084 -7.818689
Au -5.110847 35.558418 60.963483
Au 29.350675 32.143085 29.900567
Au -8.939905 37.266085 34.338126
Au 0.632740 32.143085 -10.037468
Au 23.607088 1.405085 65.401042
Au 40.837849 11.651085 7.712769
Au 31.265204 35.558418 16.587888
Au 12.119914 -0.302582 60.963483
Au 15.948972 -5.425581 16.587888
Au 54.239552 4.820418 1.056430
Au 12.119914 52.635084 58.744703
Au 33.179733 23.604751 3.275210
Au -12.768963 27.020085 -7.818689
Au 8.290856 44.096751 69.838602
Au 50.410494 18.481752 7.712769
Au 54.239552 -10.548581 56.525923
Au 48.495965 -0.302582 74.276161
Au 0.632740 47.512084 -3.381129
Au 12.119914 33.850751 1.056430
Au 15.948972 33.850751 36.556906
Au 0.632740 45.804418 72.057381
Au 31.265204 38.973751 21.025448
Au 37.008791 45.804418 -5.599909
Au 50.410494 3.112752 23.244227
Au -20.427079 37.266085 52.088364
Au 12.119914 38.973751 72.057381
Au 33.179733 16.774085 -7.818689
Au -1.281789 47.512084 58.744703
Au -16.598021 -5.425581 27.681787
Au 25.521617 15.066418 65.401042
Au 37.008791 -8.840915 74.276161
Au 52.325023 -12.256248 54.307144
Au 23.607088 32.143085 60.963483
Au -10.854434 42.389085 45.432025
Au 6.376327 -10.548581 25.463007
Au 35.094262 8.235752 67.619822
Au 0.632740 15.066418 63.182262
Au 54.239552 54.342751 45.432025
Au 10.205385 -3.717915 74.276161
Au 17.863501 9.943418 -7.818689
Au -3.196318 44.096751 27.681787
Au 37.008791 1.405085 7.712769
Au -18.512550 54.342751 43.213245
Au 6.376327 -10.548581 27.681787
Au -8.939905 44.096751 5.493990
Au 50.410494 30.435418 -7.818689
Au 21.692559 40.681418 12.150329
Au 2.547269 -7.133248 60.963483
Au 23.607088 45.804418 -5.599909
Au -5.110847 50.927418 1.056430
Au 15.948972 -5.425581 47.650804
Au -5.110847 18.481752 9.931549
Au 33.179733 52.635084 23.244227
Au 46.581436 37.266085 21.025448
Au 40.837849 50.927418 67.619822
Au 29.350675 28.727751 63.182262
Au -16.598021 16.774085 18.806668
Au -16.598021 16.774085 16.587888
Au -20.427079 49.219751 21.025448
Au -14.683492 32.143085 1.056430
Au 40.837849 9.943418 32.119346
Au 37.008791 40.681418 34.338126
Au 0.632740 47.512084 9.931549
Au 33.179733 3.112752 -5.599909
Au 27.436146 -0.302582 -3.381129
Au -14.683492 16.774085 29.900567
Au 8.290856 27.020085 56.525923
Au 14.034443 52.635084 21.025448
Au 14.034443 3.112752 21.025448
Au 2.547269 42.389085 52.088364
Au -3.196318 -2.010248 9.931549
Au -3.196318 42.389085 32.119346
Au -7.025376 6.528085 21.025448
Au 19.778030 16.774085 14.369109
Au -1.281789 47.512084 40.994465
Au -8.939905 30.435418 52.088364
Au 31.265204 3.112752 -10.037468
Au 40.837849 54.342751 45.432025
Au 52.325023 15.066418 52.088364
Au 14.034443 32.143085 -7.818689
Au -20.427079 -7.133248 -5.599909
Au -3.196318 20.189418 52.088364
Au 14.034443 28.727751 7.712769
Au 15.948972 6.528085 -10.037468
Au -1.281789 33.850751 69.838602
Au 37.008791 18.481752 25.463007
Au 14.034443 -7.133248 16.587888
Au 14.034443 32.143085 9.931549
Au 37.008791 37.266085 18.806668
Au 38.923320 -2.010248 -5.599909
Au -5.110847 -10.548581 16.587888
Au 8.290856 50.927418 65.401042
Au -18.512550 47.512084 -7.818689
Au 17.863501 23.604751 -5.599909
Au 54.239552 6.528085 7.712769
Au 50.410494 37.266085 5.493990
Au -18.512550 49.219751 -5.599909
Au 31.265204 45.804418 34.338126
Au 12.119914 25.312418 3.275210
Au 6.376327 38.973751 -12.256248
Au 35.094262 -10.548581 69.838602
Au -10.854434 4.820418 52.088364
Au -5.110847 49.219751 23.244227
Au 35.094262 4.820418 1.056430
Au -1.281789 9.943418 69.838602
Au 50.410494 -12.256248 14.369109
Au 42.752378 44.096751 7.712769
Au 25.521617 35.558418 23.244227
Au -3.196318 8.235752 56.525923
Au -16.598021 -0.302582 23.244227
Au -14.683492 21.897085 36.556906
Au 37.008791 -10.548581 21.025448
Au -20.427079 20.189418 69.838602
Au 54.239552 27.020085 21.025448
Au -5.110847 8.235752 12.150329
Au 2.547269 3.112752 -5.599909
Au 46.581436 21.897085 -12.256248
Au -7.025376 21.897085 14.369109
Au 35.094262 28.727751 49.869584
Au -3.196318 9.943418 -12.256248
Au -5.110847 44.096751 18.806668
Au 6.376327 38.973751 43.213245
Au 23.607088 44.096751 63.182262
Au 0.632740 18.481752 21.025448
Au 17.863501 47.512084 25.463007
Au 21.692559 -3.717915 36.556906
Au 15.948972 16.774085 34.338126
Au 48.495965 3.112752 38.775686
Au 23.607088 18.481752 7.712769
Au -5.110847 25.312418 3.275210
Au 54.239552 1.405085 14.369109
Au -10.854434 11.651085 36.556906
Au 0.632740 33.850751 18.806668
Au 23.607088 52.635084 36.556906
Au 52.325023 -12.256248 67.619822
Au 27.436146 37.266085 43.213245
Au 15.948972 25.312418 32.119346
Au -5.110847 -7.133248 27.681787
Au 21.692559 13.358752 29.900567
Au 15.948972 1.405085 36.556906
Au 48.495965 52.635084 -12.256248
Au -10.854434 38.973751 9.931549
Au -7.025376 -7.133248 -7.818689
Au 19.778030 -5.425581 40.994465
Au 8.290856 3.112752 21.025448
Au 40.837849 15.066418 65.401042
Au 40.837849 4.820418 43.213245
Au 25.521617 21.897085 1.056430
Au -14.683492 42.389085 32.119346
Au 21.692559 21.897085 72.057381
Au 33.179733 21.897085 69.838602
Au -7.025376 18.481752 58.744703
Au 29.350675 -5.425581 47.650804
Au 2.547269 32.143085 67.619822
Au -8.939905 3.112752 16.587888
Au 52.325023 45.804418 72.057381
Au 37.008791 45.804418 21.025448
Au 38.923320 32.143085 -10.037468
Au -8.939905 40.681418 -3.381129
Au 31.265204 21.897085 23.244227
Au 19.778030 11.651085 -10.037468
Au -3.196318 40.681418 56.525923
Au 25.521617 38.973751 52.088364
Au 35.094262 -2.010248 -12.256248
Au 6.376327 -12.256248 63.182262
Au 38.923320 18.481752 5.493990
Au 6.376327 27.020085 25.463007
Au 8.290856 23.604751 65.401042
Au 15.948972 23.604751 67.619822
Au 38.923320 3.112752 72.057381
Au 14.034443 -0.302582 43.213245
Au 14.034443 20.189418 45.432025
Au 15.948972 33.850751 -1.162349
Au -20.427079 -8.840915 47.650804
Au 42.752378 -3.717915 21.025448
Au 37.008791 1.405085 74.276161
Au 46.581436 -5.425581 52.088364
Au 46.581436 15.066418 74.276161
Au 38.923320 16.774085 14.369109
Au 15.948972 38.973751 67.619822
Au 8.290856 25.312418 -12.256248
Au -20.427079 1.405085 34.338126
Au 15.948972 6.528085 -1.162349
Au 25.521617 -2.010248 12.150329
Au -16.598021 11.651085 27.681787
Au 50.410494 9.943418 25.463007
Au -5.110847 42.389085 43.213245
Au 25.521617 4.820418 3.275210
Au 19.778030 -2.010248 14.369109
Au -1.281789 -0.302582 47.650804
Au -3.196318 38.973751 60.963483
Au 2.547269 13.358752 -7.818689
Au 29.350675 -8.840915 -5.599909
Au 38.923320 54.342751 67.619822
Au 44.666907 40.681418 36.556906
Au -20.427079 28.727751 27.681787
Au 52.325023 11.651085 58.744703
Au 31.265204 28.727751 27.681787
Au -16.598021 49.219751 32.119346
Au -20.427079 47.512084 5.493990
Au 31.265204 11.651085 45.432025
Au 6.376327 -0.302582 7.712769
Au 50.410494 23.604751 -3.381129
Au 15.948972 37.266085 49.869584
Au -10.854434 52.635084 27.681787
Au 46.581436 13.358752 69.838602
Au -14.683492 33.850751 45.432025
Au 33.179733 11.651085 40.994465
Au 33.179733 9.943418 14.369109
Au 42.752378 11.651085 45.432025
Au -8.939905 15.066418 67.619822
Au 6.376327 21.897085 21.025448
Au 23.607088 47.512084 47.650804
Au -18.512550 -2.010248 60.963483
Au -18.512550 42.389085 3.275210
Au -7.025376 23.604751 34.338126
Au 35.094262 42.389085 -3.381129
Au 27.436146 -2.010248 65.401042
Au 25.521617 6.528085 27.681787
Au 29.350675 9.943418 34.338126
Au 48.495965 44.096751 32.119346
Au 10.205385 49.219751 -1.162349
Au 54.239552 20.189418 5.493990
Au 38.923320 6.528085 -1.162349
Au 14.034443 8.235752 7.712769
Au 29.350675 -7.133248 -1.162349
Au 12.119914 4.820418 9.931549
Au 21.692559 38.973751 65.401042
Au 0.632740 -0.302582 3.275210
Au 52.325023 8.235752 1.056430
Au 2.547269 18.481752 9.931549
Au -3.196318 11.651085 21.025448
Au 46.581436 21.897085 21.025448
Au 37.008791 11.651085 72.057381
Au 29.350675 3.112752 -10.037468
Au -8.939905 -10.548581 12.150329
Au -18.512550 25.312418 47.650804
Au 52.325023 -2.010248 45.432025
Au 0.632740 44.096751 58.744703
Au 48.495965 38.973751 36.556906
Au 46.581436 50.927418 18.806668
Au -1.281789 11.651085 18.806668
Au 0.632740 18.481752 67.619822
Au 2.547269 42.389085 38.775686
Au -12.768963 44.096751 60.963483
Au -10.854434 -10.548581 12.150329
Au 19.778030 32.143085 -3.381129
Au 25.521617 27.020085 -5.599909
Au 25.521617 32.143085 18.806668
Au 8.290856 25.312418 36.556906
Au 25.521617 30.435418 45.432025
Au 31.265204 33.850751 43.213245
Au 31.265204 47.512084 25.463007
Au -16.598021 23.604751 72.057381
Au 27.436146 27.020085 74.276161
Au 4.461798 23.604751 38.775686
